author_name,editor_name
Makoto Yokoo,
Yuko Sakurai,
Shigeo Matsubara,
Dennis S. Arnon,
Jihie Kim,
Paul S. Rosenbloom,
Margaret King,
Olivier Raiman,
F. C. Lam,
Wai K. Yeap,
Javier Larrosa,
Pedro Meseguer,
Thomas Schiex,
Pallab Dasgupta,
P. P. Chakrabarti,
Jatindra Kumar Deka,
Sriram Sankaranarayanan,
Stephen Jose Hanson,
Ronen I. Brafman,
Nir Friedman,
Ronen I. Brafman,
Moshe Tennenholtz,
Ronen I. Brafman,
Moshe Tennenholtz,
Chia-Hoang Lee,
Kai-Fu Lee,
Sanjoy Mahajan,
Kai-Fu Lee,
Sanjoy Mahajan,
Wolfgang Bibel,
Wolfgang Bibel,
Wolfgang Bibel,
Wolfgang Bibel,
Shie-Jue Lee,
David A. Plaisted,
Chia-Hoang Lee,
Azriel Rosenfeld,
Ho Soo Lee,
Marshall I. Schor,
Richard E. Korf,
Richard E. Korf,
Richard E. Korf,
Richard E. Korf,
Richard E. Korf,
Richard E. Korf,
Richard E. Korf,
Barry Kort,
Robert Neches,
David Kirsh,
Ray J. Hickey,
Barbara White,
John Frederiksen,
Milind Tambe,
Jafar Adibi,
Y. Alonaizon,
Ali Erdem,
Gal A. Kaminka,
Stacy Marsella,
Ion Muslea,
Hans J. Berliner,
Donald F. Beal,
Hans J. Berliner,
Murray Campbell,
Hans J. Berliner,
Carl Ebeling,
Hans J. Berliner,
Carl Ebeling,
Hans J. Berliner,
Chris McConnell,
Olivier D. Faugeras,
E. Le Bras-Mehlman,
Jean-Daniel Boissonnat,
Jon A. Webb,
J. K. Aggarwal,
Eric Neufeld,
Jinxin Lin,
Fangzhen Lin,
Hector J. Levesque,
Fangzhen Lin,
Raymond Reiter,
Fangzhen Lin,
Yoav Shoham,
Robert Schrag,
James M. Crawford,
Mark A. Peot,
Ross D. Shachter,
Wray L. Buntine,
Paul S. Rosenbloom,
John E. Laird,
Nicola Muscettola,
P. Pandurang Nayak,
Barney Pell,
Brian C. Williams,
Adnan Darwiche,
Judea Pearl,
Lucy A. Suchman,
D. Marr,
Mark Levene,
Trevor I. Fenner,
Ingo Althfer,
